 Dispositifs supplémentaires d’accompagnement de la fin de vie,Dispositifs supplémentaires augmentant la durée de vie,Lieu de fabrication,Matière,Numéro,Poids,Produits,"Transport d'approvisionnement",Transport de distribution,_id
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe527295,24,"Étagère Epoch en bois durable, Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527296
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe527297,60,"Bibilothèque Prime en bois durable, Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527298
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe527299,22,"Console Candour en bois durable, Long. 60 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe52729a
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC, verre",63bb32ae761f2261fe52729b,36,"Buffet Shoji en bois durable, Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe52729c
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC, verre",63bb32ae761f2261fe52729d,30,"Grande armoire Shoji en bois durable, Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe52729e
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe52729f,22,"Console Dash en bois durable, Long. 90 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272a0
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272a1,40,"Commode Archive en bois durable, Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272a2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272a3,6,"Banc Nomad en bois durable Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272a4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois d'Eucalyptus FSC, Fer, Marbre, MDF",63bb32ae761f2261fe5272a5,47,"Commode Nobu en bois durable Long. 120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272a6
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de frêne FSC, Fer",63bb32ae761f2261fe5272a7,21,"Étagère murale Norm en bois durable et fer Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272a8
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC, Verre",63bb32ae761f2261fe5272a9,18,"Petite commode vitrine en bois durable
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272aa
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272ab,7,"Table d'appoint Archive en bois durable Long. 38 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ac
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272ad,7,"Banc Align en bois durable Long. 85 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ae
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272af,5,"Table d'appoint Acorn en bois durable Long. 37 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272b0
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC",63bb32ae761f2261fe5272b1,24,"Petite bibliothèque en bois durable Long. 150 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272b2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois de chêne FSC, Placage bois de chêne FSC, MDF",63bb32ae761f2261fe5272b3,"5,6","Table Crayon en bois durable Long. 40 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272b4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Bois d'Eucalyptus FSC, Fer",63bb32ae761f2261fe5272b5,5,"Étagère Norm en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272b6
